#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A35B9C
#Date Time: 2022-05-23 16:51:14.171
#Sample rate: 4000Hz
#Samples: 8000
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 1.47789 V Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 20 mV/div Offset: -1.48 V Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 20 mV/div Offset: -1.48 V Attenuation: 1 X Sample Mode: Average

Time (s),Channel 1 (V),Channel 2 (V)
-1,1.486469315908963,1.4814618329399405
-0.99975,1.486469315908963,1.4814618329399405
-0.9995,1.4861306381868622,1.4814618329399405
-0.99925,1.4857919604647614,1.4811291617309252
-0.999,1.4857919604647614,1.4814618329399405
-0.99875,1.4861306381868622,1.4814618329399405
-0.9985,1.486469315908963,1.4814618329399405
-0.99825,1.4861306381868622,1.4814618329399405
-0.998,1.4861306381868622,1.4817945041489557
-0.99775,1.4861306381868622,1.4817945041489557
-0.9975,1.4861306381868622,1.4817945041489557
-0.99725,1.4861306381868622,1.4817945041489557
-0.997,1.4861306381868622,1.4817945041489557
-0.99675,1.4861306381868622,1.4817945041489557
-0.9965,1.4861306381868622,1.4817945041489557
-0.99625,1.4861306381868622,1.4817945041489557
-0.996,1.4861306381868622,1.482127175357971
-0.99575,1.486469315908963,1.482127175357971
-0.9955,1.486469315908963,1.482127175357971
-0.99525,1.486469315908963,1.482127175357971
-0.995,1.486469315908963,1.482127175357971
-0.99475,1.486469315908963,1.4824598465669863
-0.9945,1.486469315908963,1.4824598465669863
-0.99425,1.4868079936310639,1.4824598465669863
-0.994,1.4868079936310639,1.4824598465669863
-0.99375,1.4871466713531647,1.4824598465669863
-0.9935,1.4871466713531647,1.4827925177760013
-0.99325,1.4874853490752655,1.4827925177760013
-0.993,1.4874853490752655,1.4827925177760013
-0.99275,1.4874853490752655,1.4827925177760013
-0.9925,1.4874853490752655,1.4827925177760013
-0.99225,1.4871466713531647,1.4827925177760013
-0.992,1.4871466713531647,1.4831251889850166
-0.99175,1.4871466713531647,1.4831251889850166
-0.9915,1.4871466713531647,1.4831251889850166
-0.99125,1.4871466713531647,1.4831251889850166
-0.991,1.4871466713531647,1.4834578601940318
-0.99075,1.4871466713531647,1.4831251889850166
-0.9905,1.4871466713531647,1.4834578601940318
-0.99025,1.4871466713531647,1.4831251889850166
-0.99,1.4874853490752655,1.4834578601940318
-0.98975,1.4874853490752655,1.4834578601940318
-0.9895,1.4874853490752655,1.4834578601940318
-0.98925,1.4874853490752655,1.4834578601940318
-0.989,1.4878240267973664,1.4834578601940318
-0.98875,1.4874853490752655,1.4834578601940318
-0.9885,1.4878240267973664,1.4834578601940318
-0.98825,1.4878240267973664,1.4834578601940318
-0.988,1.4878240267973664,1.4834578601940318
-0.98775,1.4878240267973664,1.4834578601940318
-0.9875,1.4878240267973664,1.4834578601940318
-0.98725,1.4878240267973664,1.4834578601940318
-0.987,1.4878240267973664,1.4831251889850166
-0.98675,1.4878240267973664,1.4834578601940318
-0.9865,1.4878240267973664,1.4831251889850166
-0.98625,1.4878240267973664,1.4831251889850166
-0.986,1.4878240267973664,1.4831251889850166
-0.98575,1.4878240267973664,1.4831251889850166
-0.9855,1.4874853490752655,1.4831251889850166
-0.98525,1.4874853490752655,1.4831251889850166
-0.985,1.4874853490752655,1.4827925177760013
-0.98475,1.4871466713531647,1.4827925177760013
-0.9845,1.4871466713531647,1.4827925177760013
-0.98425,1.4871466713531647,1.4824598465669863
-0.984,1.4868079936310639,1.4824598465669863
-0.98375,1.4868079936310639,1.4824598465669863
-0.9835,1.486469315908963,1.4824598465669863
-0.98325,1.486469315908963,1.4824598465669863
-0.983,1.486469315908963,1.4824598465669863
-0.98275,1.4861306381868622,1.4824598465669863
-0.9825,1.4861306381868622,1.482127175357971
-0.98225,1.4861306381868622,1.482127175357971
-0.982,1.4861306381868622,1.482127175357971
-0.98175,1.4861306381868622,1.482127175357971
-0.9815,1.4857919604647614,1.482127175357971
-0.98125,1.4857919604647614,1.4817945041489557
-0.981,1.4854532827426605,1.4817945041489557
-0.98075,1.4854532827426605,1.4817945041489557
-0.9805,1.4851146050205597,1.4817945041489557
-0.98025,1.4851146050205597,1.4817945041489557
-0.98,1.4851146050205597,1.4817945041489557
-0.97975,1.4851146050205597,1.4817945041489557
-0.9795,1.4851146050205597,1.4817945041489557
-0.97925,1.4847759272984589,1.4817945041489557
-0.979,1.4847759272984589,1.4817945041489557
-0.97875,1.4847759272984589,1.4817945041489557
-0.9785,1.4847759272984589,1.4817945041489557
-0.97825,1.4851146050205597,1.4817945041489557
-0.978,1.4847759272984589,1.4817945041489557
-0.97775,1.4851146050205597,1.482127175357971
-0.9775,1.4847759272984589,1.482127175357971
-0.97725,1.4847759272984589,1.4817945041489557
-0.977,1.4847759272984589,1.482127175357971
-0.97675,1.4847759272984589,1.4817945041489557
-0.9765,1.4847759272984589,1.482127175357971
-0.97625,1.4847759272984589,1.482127175357971
-0.976,1.4847759272984589,1.482127175357971
-0.97575,1.4847759272984589,1.482127175357971
-0.9755,1.4847759272984589,1.4824598465669863
-0.97525,1.4847759272984589,1.482127175357971
-0.975,1.4847759272984589,1.4824598465669863
-0.97475,1.4851146050205597,1.4824598465669863
-0.9745,1.4851146050205597,1.4827925177760013
-0.97425,1.4847759272984589,1.4824598465669863
-0.974,1.4851146050205597,1.4827925177760013
-0.97375,1.4851146050205597,1.4827925177760013
-0.9735,1.4851146050205597,1.4827925177760013
-0.97325,1.4854532827426605,1.4831251889850166
-0.973,1.4854532827426605,1.4831251889850166
-0.97275,1.4854532827426605,1.4831251889850166
-0.9725,1.4854532827426605,1.4831251889850166
-0.97225,1.4854532827426605,1.4834578601940318
-0.972,1.4854532827426605,1.4831251889850166
-0.97175,1.4857919604647614,1.4834578601940318
-0.9715,1.4857919604647614,1.483790531403047
-0.97125,1.4861306381868622,1.4834578601940318
-0.971,1.4861306381868622,1.4834578601940318
-0.97075,1.4861306381868622,1.483790531403047
-0.9705,1.4861306381868622,1.483790531403047
-0.97025,1.4861306381868622,1.4834578601940318
-0.97,1.486469315908963,1.483790531403047
-0.96975,1.486469315908963,1.483790531403047
-0.9695,1.4868079936310639,1.483790531403047
-0.96925,1.4868079936310639,1.4841232026120623
-0.969,1.486469315908963,1.4841232026120623
-0.96875,1.486469315908963,1.483790531403047
-0.9685,1.4868079936310639,1.4841232026120623
-0.96825,1.4868079936310639,1.483790531403047
-0.968,1.4868079936310639,1.483790531403047
-0.96775,1.486469315908963,1.483790531403047
-0.9675,1.4868079936310639,1.483790531403047
-0.96725,1.4868079936310639,1.483790531403047
-0.967,1.4868079936310639,1.483790531403047
-0.96675,1.4868079936310639,1.483790531403047
-0.9665,1.4868079936310639,1.4834578601940318
-0.96625,1.486469315908963,1.4834578601940318
-0.966,1.486469315908963,1.4834578601940318
-0.96575,1.4861306381868622,1.4834578601940318
-0.9655,1.4861306381868622,1.4831251889850166
-0.96525,1.4861306381868622,1.4831251889850166
-0.965,1.4861306381868622,1.4831251889850166
-0.96475,1.4861306381868622,1.4831251889850166
-0.9645,1.4861306381868622,1.4831251889850166
-0.96425,1.4857919604647614,1.4827925177760013
-0.964,1.4857919604647614,1.4827925177760013
-0.96375,1.4861306381868622,1.4824598465669863
-0.9635,1.4861306381868622,1.4827925177760013
-0.96325,1.4857919604647614,1.4824598465669863
-0.963,1.4857919604647614,1.4824598465669863
-0.96275,1.4854532827426605,1.4824598465669863
-0.9625,1.4854532827426605,1.4824598465669863
-0.96225,1.4854532827426605,1.482127175357971
